idx,count_00_00_00,count_00_30_00,count_01_00_00,count_01_30_00,count_02_00_00,count_02_30_00,count_03_00_00,count_04_00_00,h3id,point,poly
62,11.0,11,9.0,8.0,8.0,7.0,7.0,6.0,892f5a32cc7ffff,POINT(139.794382166483 35.6946489910824),"POLYGON((139.796368187515 35.6941756086324, 139.795803286931 35.6959300396552, 139.793817229707 35.6964033907255, 139.79239616973 35.6951223295065, 139.792961120142 35.6933679514564, 139.794947080706 35.6928945816529, 139.796368187515 35.6941756086324))"
63,9.0,9,9.0,5.0,,,,,892f5a32d1bffff,POINT(139.76798716926 35.6912206667537),"POLYGON((139.769972608738 35.6907477562084, 139.769407300886 35.6925017751892, 139.767421825256 35.6929746543426, 139.766001754112 35.6916935332973, 139.766567111706 35.6899395673085, 139.768552490704 35.6894666693734, 139.769972608738 35.6907477562084))"
64,11.0,11,11.0,8.0,8.0,5.0,5.0,5.0,892f5a32d4bffff,POINT(139.770551809026 35.7003261467502),"POLYGON((139.772537538436 35.6998532925447, 139.771972203693 35.7016073469094, 139.769986438117 35.7020801697168, 139.768566103946 35.7007989569419, 139.769131488451 35.6990449555649, 139.77111715737 35.6985721139754, 139.772537538436 35.6998532925447))"
65,9.0,9,7.0,5.0,5.0,5.0,5.0,,892f5a32d57ffff,POINT(139.768841970474 35.6942557843768),"POLYGON((139.770827506588 35.6937828926113, 139.770262189771 35.6955369233959, 139.768276617501 35.6960097837675, 139.76685645869 35.6947286321366, 139.767421825256 35.6929746543426, 139.769407300886 35.6925017751892, 139.770827506588 35.6937828926113))"
66,17.0,17,16.0,13.0,13.0,11.0,11.0,8.0,892f5a32d5bffff,POINT(139.773102850616 35.6980992283735),"POLYGON((139.775088568185 35.6976262987583, 139.774523292172 35.6993803943243, 139.772537538436 35.6998532925447, 139.77111715737 35.6985721139754, 139.77168248315 35.6968180713961, 139.773668140233 35.6963451543998, 139.775088568185 35.6976262987583))"
67,9.0,9,8.0,7.0,7.0,,,,892f5a32d67ffff,POINT(139.756929264863 35.6970922108846),"POLYGON((139.758914654935 35.6966195831384, 139.758349121212 35.6983734255364, 139.756363694996 35.6988460218795, 139.754943899146 35.6975647946311, 139.755509482585 35.6958110052312, 139.757494812162 35.6953383900819, 139.758914654935 35.6966195831384))"
68,10.0,10,9.0,6.0,6.0,,,,892f5a32d77ffff,POINT(139.759480166092 35.6948657309344),"POLYGON((139.761465544371 35.6943930277877, 139.760900069358 35.6961469113915, 139.758914654935 35.6966195831384, 139.757494812162 35.6953383900819, 139.758060336896 35.6935845594751, 139.760045654685 35.6931118689281, 139.761465544371 35.6943930277877))"
69,6.0,6,6.0,,,,,,892f5a32d7bffff,POINT(139.763740098115 35.6987092992837),"POLYGON((139.765725657871 35.6982365583245, 139.765160223614 35.6999905067111, 139.763174627705 35.7004632162697, 139.761754562702 35.6991819962362, 139.762320046698 35.6974281008426, 139.76430554596 35.6969553724898, 139.765725657871 35.6982365583245))"
70,15.0,15,12.0,9.0,9.0,5.0,5.0,,892f5a32d93ffff,POINT(139.77137875957 35.6806965357332),"POLYGON((139.77336398215 35.680223436875, 139.772798809634 35.6819775145368, 139.770813550907 35.682450582014, 139.769393561305 35.6811695905989, 139.769958783559 35.6794155659297, 139.77194394568 35.6789424796834, 139.77336398215 35.680223436875))"
71,14.0,14,13.0,7.0,7.0,6.0,6.0,6.0,892f5a32dc7ffff,POINT(139.77053789403 35.6889937274382),"POLYGON((139.772523321678 35.6885207415018, 139.77195807254 35.6902748016605, 139.769972608738 35.6907477562084, 139.768552490704 35.6894666693734, 139.76911778959 35.6877126622056, 139.771103156765 35.6872396888821, 139.772523321678 35.6885207415018))"
72,57.0,57,56.0,41.0,40.0,33.0,33.0,27.0,892f5a32dcfffff,POINT(139.771392800843 35.6920288520316),"POLYGON((139.773378325123 35.6915558848688, 139.772813067026 35.6933099568391, 139.770827506588 35.6937828926113, 139.769407300886 35.6925017751892, 139.769972608738 35.6907477562084, 139.77195807254 35.6902748016605, 139.773378325123 35.6915558848688))"
73,19.0,19,19.0,12.0,12.0,,,,892f5a32e03ffff,POINT(139.79441725573 35.7173176576623),"POLYGON((139.796403880737 35.7168445384945, 139.795838809129 35.7185989577475, 139.793852147908 35.7190720455163, 139.792430655015 35.7177907327787, 139.792995776481 35.7160363664921, 139.794982340984 35.715563259977, 139.796403880737 35.7168445384945))"
74,19.0,19,19.0,16.0,15.0,11.0,11.0,5.0,892f5a32e0bffff,POINT(139.795273714954 35.7203533671674),"POLYGON((139.797260436685 35.7198802667441, 139.796695356159 35.7216346977282, 139.794708598211 35.7221077667504, 139.793287017517 35.7208264235353, 139.793852147908 35.7190720455163, 139.795838809129 35.7185989577475, 139.797260436685 35.7198802667441))"
75,27.0,27,27.0,22.0,20.0,16.0,16.0,10.0,892f5a32e17ffff,POINT(139.79356087538 35.7142819903762),"POLYGON((139.795547403673 35.7138088524641, 139.794982340984 35.715563259977, 139.792995776481 35.7160363664921, 139.79157437138 35.714755084241, 139.79213948392 35.7130007296961, 139.794125951713 35.7125276044347, 139.795547403673 35.7138088524641))"
76,5.0,5,5.0,,,,,,892f5a32e1bffff,POINT(139.797825494642 35.7181258259249),"POLYGON((139.799812204441 35.7176526500474, 139.799247182703 35.7194071222644, 139.797260436685 35.7198802667441, 139.795838809129 35.7185989577475, 139.796403880737 35.7168445384945, 139.798390530032 35.7163713752743, 139.799812204441 35.7176526500474))"
77,5.0,5,5.0,,,,,,892f5a32e2fffff,POINT(139.782498015983 35.7201554476254),"POLYGON((139.78448449517 35.7196825927508, 139.783919206309 35.7214368235866, 139.781932690922 35.721909647053, 139.780511561115 35.7206282584547, 139.781076899802 35.7188740805929, 139.783063318472 35.7184012383556, 139.78448449517 35.7196825927508))"
